12	1001061
13	1031830
14	8808
15	14342
17	6948
18	6532
20	1213787
21	9027
22	3791
23	2627
31	2493
34	1065
47	2874
52	1504
53	11206
57	9240
58	2475
59	1238
60	1338
61	1780
62	1235
64	2890
66	6049
87	7497
94	3543
107	10806
108	2023
126	1187
150	5540
187	1371
194	1023
240	1258
246	7535
257	7284
259	1913
274	1233
288	3202
291	918026
292	7418
293	3574
294	1211
295	9217
322	1380
344	1207
350	921
380	1451
414	9541
418	5355
422	7975
432	1188
448	18663
450	1474
456	4581
506	1746
509	4302
528	6255
531	4866
541	2879
544	2674
572	11791
573	3180
586	920732
591	3716
598	1645
607	4512
613	1587
633	15076
637	2599
642	1860
648	3051
649	8337
666	1280
681	1056
722	1871
746	1227
747	2684
755	1257
760	1553
761	3317
762	2241
765	6608
767	26582
781	1617
785	2822
841	2698
849	5130
855	1594
861	4889
866	1593
874	27196
875	1376
880	2081
885	11400
888	11184
897	1956
903	1537
913	2411
916	1019
917	1016
926	1102
929	2154
939	1036
977	959
978	1175
985	5777
988	2619
989	687238
994	997
997	4226
1004	2981
1070	4604
1075	3140
1077	2432
1081	22324
1083	2052
1084	11290
1102	2017
1110	4038
1117	3576
1128	1326
1148	6819
1153	2891
1154	3540
1173	1400
1183	1435
1186	18484
1192	29126
1265	3026
1293	5526
1298	2598
1317	2280
1371	1632
1378	9275
1418	14552
1469	2635
1495	17319
1497	2740
1501	1567
1503	1702
1508	997
1541	1421
1547	1049
1567	1246
1585	5383
1598	984
1623	2624
1624	2026
1668	1019
1676	1328
1688	3685
1706	988
1737	1356
1814	1211
1821	3200
1866	1049
1901	1679
1941	1002
1952	1558
1968	1439
1970	3112
1974	2199
2024	4063
2026	2675
2053	2512
2057	4174
2066	989
2079	1413
2084	1919
2172	44660
2185	1254
2235	1494
2255	1004
2311	1948
2353	4128
2391	3320
2405	3124
2408	1871
2426	4720
2480	3192
2494	3553
2495	2126
2520	1785
2542	1843
2547	11484
2565	997
2606	1113
2618	1544
2623	951
2627	1549
2653	1460
2654	3565
2666	4415
